Tanggal,Jenis Pajak,Nominal (Milyar)
31/01/2020,PPh Badan,2744.9
31/01/2020,PPN Dalam Negeri,4681.98
31/01/2020,PPh 21,1124.48
31/01/2020,PPN Impor,667.75
29/02/2020,PPh Badan,2813.83
29/02/2020,PPN Dalam Negeri,4817.79
29/02/2020,PPh 21,1141.79
29/02/2020,PPN Impor,592.34
31/03/2020,PPh Badan,2822.72
31/03/2020,PPN Dalam Negeri,4634.6
31/03/2020,PPh 21,1198.31
31/03/2020,PPN Impor,599.88
30/04/2020,PPh Badan,7885.45
30/04/2020,PPN Dalam Negeri,6173.97
30/04/2020,PPh 21,1288.8
30/04/2020,PPN Impor,791.88
31/05/2020,PPh Badan,2988.47
31/05/2020,PPN Dalam Negeri,5638.71
31/05/2020,PPh 21,1160.71
31/05/2020,PPN Impor,677.66
30/06/2020,PPh Badan,2868.17
30/06/2020,PPN Dalam Negeri,5016.29
30/06/2020,PPh 21,1157.54
30/06/2020,PPN Impor,715.91
31/07/2020,PPh Badan,3020.98
31/07/2020,PPN Dalam Negeri,5092.83
31/07/2020,PPh 21,1216.78
31/07/2020,PPN Impor,704.71
31/08/2020,PPh Badan,2947.87
31/08/2020,PPN Dalam Negeri,4744.77
31/08/2020,PPh 21,1131.21
31/08/2020,PPN Impor,677.92
30/09/2020,PPh Badan,2883.92
30/09/2020,PPN Dalam Negeri,4745.1
30/09/2020,PPh 21,1117.35
30/09/2020,PPN Impor,703.11
31/10/2020,PPh Badan,2861.19
31/10/2020,PPN Dalam Negeri,4731.77
31/10/2020,PPh 21,1139.48
31/10/2020,PPN Impor,636.43
30/11/2020,PPh Badan,2843.22
30/11/2020,PPN Dalam Negeri,4827.6
30/11/2020,PPh 21,1153.39
30/11/2020,PPN Impor,670.34
31/12/2020,PPh Badan,2957.2
31/12/2020,PPN Dalam Negeri,5559.37
31/12/2020,PPh 21,1350.56
31/12/2020,PPN Impor,641.89
31/01/2021,PPh Badan,2957.45
31/01/2021,PPN Dalam Negeri,4890.14
31/01/2021,PPh 21,1067.78
31/01/2021,PPN Impor,663.94
28/02/2021,PPh Badan,2850.29
28/02/2021,PPN Dalam Negeri,4775.88
28/02/2021,PPh 21,1015.97
28/02/2021,PPN Impor,643.91
31/03/2021,PPh Badan,2997.34
31/03/2021,PPN Dalam Negeri,4987.21
31/03/2021,PPh 21,1181.9
31/03/2021,PPN Impor,690.34
30/04/2021,PPh Badan,6982.39
30/04/2021,PPN Dalam Negeri,5557.61
30/04/2021,PPh 21,1035.11
30/04/2021,PPN Impor,633.47
31/05/2021,PPh Badan,2799.42
31/05/2021,PPN Dalam Negeri,5556.7
31/05/2021,PPh 21,1025.94
31/05/2021,PPN Impor,722.16
30/06/2021,PPh Badan,2535.87
30/06/2021,PPN Dalam Negeri,4346.53
30/06/2021,PPh 21,945.85
30/06/2021,PPN Impor,555.31
31/07/2021,PPh Badan,2978.06
31/07/2021,PPN Dalam Negeri,4977.23
31/07/2021,PPh 21,1079.68
31/07/2021,PPN Impor,682.01
31/08/2021,PPh Badan,2869.24
31/08/2021,PPN Dalam Negeri,4982.92
31/08/2021,PPh 21,1058.43
31/08/2021,PPN Impor,646.32
30/09/2021,PPh Badan,2884.43
30/09/2021,PPN Dalam Negeri,5027.26
30/09/2021,PPh 21,1096.23
30/09/2021,PPN Impor,773.12
31/10/2021,PPh Badan,2347.47
31/10/2021,PPN Dalam Negeri,4147.9
31/10/2021,PPh 21,883.26
31/10/2021,PPN Impor,574.12
30/11/2021,PPh Badan,2951.83
30/11/2021,PPN Dalam Negeri,5302.44
30/11/2021,PPh 21,1142.85
30/11/2021,PPN Impor,789.11
31/12/2021,PPh Badan,2702.25
31/12/2021,PPN Dalam Negeri,5367.49
31/12/2021,PPh 21,1196.15
31/12/2021,PPN Impor,585.45
31/01/2022,PPh Badan,2997.07
31/01/2022,PPN Dalam Negeri,5187.9
31/01/2022,PPh 21,1202.11
31/01/2022,PPN Impor,721.98
28/02/2022,PPh Badan,2656.48
28/02/2022,PPN Dalam Negeri,4699.94
28/02/2022,PPh 21,1085.49
28/02/2022,PPN Impor,677.94
31/03/2022,PPh Badan,2925.18
31/03/2022,PPN Dalam Negeri,5044.32
31/03/2022,PPh 21,1279.46
31/03/2022,PPN Impor,694.14
30/04/2022,PPh Badan,6647.53
30/04/2022,PPN Dalam Negeri,5328.76
30/04/2022,PPh 21,1080.18
30/04/2022,PPN Impor,686.46
31/05/2022,PPh Badan,2811.25
31/05/2022,PPN Dalam Negeri,5377.7
31/05/2022,PPh 21,1078.06
31/05/2022,PPN Impor,626.11
30/06/2022,PPh Badan,3040.16
30/06/2022,PPN Dalam Negeri,5399.37
30/06/2022,PPh 21,1238.99
30/06/2022,PPN Impor,815.23
31/07/2022,PPh Badan,2725.26
31/07/2022,PPN Dalam Negeri,4828.97
31/07/2022,PPh 21,1118.08
31/07/2022,PPN Impor,780.83
31/08/2022,PPh Badan,2884.54
31/08/2022,PPN Dalam Negeri,4960.62
31/08/2022,PPh 21,1158.95
31/08/2022,PPN Impor,666.26
30/09/2022,PPh Badan,2876.68
30/09/2022,PPN Dalam Negeri,5054.72
30/09/2022,PPh 21,1186.93
30/09/2022,PPN Impor,680.1
31/10/2022,PPh Badan,2905.64
31/10/2022,PPN Dalam Negeri,4958.85
31/10/2022,PPh 21,1163.63
31/10/2022,PPN Impor,767.37
30/11/2022,PPh Badan,2923.12
30/11/2022,PPN Dalam Negeri,5047.38
30/11/2022,PPh 21,1185.37
30/11/2022,PPN Impor,759.52
31/12/2022,PPh Badan,2861.23
31/12/2022,PPN Dalam Negeri,5633.3
31/12/2022,PPh 21,1381.25
31/12/2022,PPN Impor,664.85
31/01/2023,PPh Badan,3133.5
31/01/2023,PPN Dalam Negeri,5459.35
31/01/2023,PPh 21,1283.66
31/01/2023,PPN Impor,734.37
28/02/2023,PPh Badan,2803.1
28/02/2023,PPN Dalam Negeri,4759.38
28/02/2023,PPh 21,1116.06
28/02/2023,PPN Impor,655.76
31/03/2023,PPh Badan,2871.01
31/03/2023,PPN Dalam Negeri,4753.84
31/03/2023,PPh 21,1219.87
31/03/2023,PPN Impor,611.1
30/04/2023,PPh Badan,7541.84
30/04/2023,PPN Dalam Negeri,5826.82
30/04/2023,PPh 21,1201.54
30/04/2023,PPN Impor,664.37
31/05/2023,PPh Badan,2892.15
31/05/2023,PPN Dalam Negeri,5849.45
31/05/2023,PPh 21,1211.76
31/05/2023,PPN Impor,660.97
30/06/2023,PPh Badan,3075.82
30/06/2023,PPN Dalam Negeri,5162.21
30/06/2023,PPh 21,1248.62
30/06/2023,PPN Impor,677.73
31/07/2023,PPh Badan,3069.69
31/07/2023,PPN Dalam Negeri,4858.37
31/07/2023,PPh 21,1172.24
31/07/2023,PPN Impor,697.51
31/08/2023,PPh Badan,2747.97
31/08/2023,PPN Dalam Negeri,4607.27
31/08/2023,PPh 21,1076.27
31/08/2023,PPN Impor,649.04
30/09/2023,PPh Badan,3187.55
30/09/2023,PPN Dalam Negeri,5258.81
30/09/2023,PPh 21,1216.55
30/09/2023,PPN Impor,813.14
31/10/2023,PPh Badan,2796.51
31/10/2023,PPN Dalam Negeri,4579.53
31/10/2023,PPh 21,1051.35
31/10/2023,PPN Impor,588.24
30/11/2023,PPh Badan,3090.72
30/11/2023,PPN Dalam Negeri,4907.12
30/11/2023,PPh 21,1169.98
30/11/2023,PPN Impor,736.8
31/12/2023,PPh Badan,2920.75
31/12/2023,PPN Dalam Negeri,5388.35
31/12/2023,PPh 21,1341.64
31/12/2023,PPN Impor,645.03
31/01/2024,PPh Badan,3036.99
31/01/2024,PPN Dalam Negeri,4855.17
31/01/2024,PPh 21,1151.6
31/01/2024,PPN Impor,674.65
29/02/2024,PPh Badan,3052.79
29/02/2024,PPN Dalam Negeri,4874.66
29/02/2024,PPh 21,1126.95
29/02/2024,PPN Impor,719.93
31/03/2024,PPh Badan,3074.78
31/03/2024,PPN Dalam Negeri,5011.98
31/03/2024,PPh 21,1301.29
31/03/2024,PPN Impor,633.64
30/04/2024,PPh Badan,7713.73
